,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
0,EB,2019-09-26,EB2004,8100.0,8125.0,8216.0,8051.0,0,82010,8000.0,8145.0,8000.0,12244,8640.0,7360.0,8100,5,0.015625,,,,,,,,,,,,,,-0.014399205561072449,-0.00993048659384311,-0.010923535253227434,-0.012909632571996078,-0.026439920556107246,,,,0.0112,0.009107692307692308,,,,,,,666331250.0,,,,,,,,,,,,,,,
1,,2019-09-27,EB2005,8088.691658391261,8008.006454816286,8137.102780536246,7968.672418073485,0,39914,8125.0,8045.323361469712,8139.119910625621,15074,8463.877855014896,7814.361966236345,8016,5,-0.014399205561072449,,,,,,,,,,,,,,0.004534005037783319,0.0035264483627203335,0.0015113350125943636,-0.012216624685138578,-0.01435768261964742,,,,0.016120906801007532,0.004911838790932165,,,,,,,319631569.63753724,,,,,,,,,,,,,,,
2,,2019-09-30,EB2005,7972.706678252234,8044.314796425025,8067.51179245283,7972.706678252234,0,13738,8008.006454816286,8024.143495531281,8045.323361469712,13464,8527.417452830188,7563.229270109236,7981,5,0.004534005037783319,,,,,,,,,,,,,,-0.0010030090270812563,-0.003009027081243769,-0.01667502507522566,-0.01880641925777333,-0.02582748244734201,,,,0.002883650952858612,0.008901705115346038,,,,,,,110512796.67328699,,,,,,,,,,,,,,,
3,,2019-10-08,EB2005,8018.092105263157,8036.246276067527,8066.503227408143,7987.835153922542,0,5470,8044.314796425025,8030.194885799404,8024.143495531281,14208,8505.22902184707,7543.057969215492,7950,5,-0.0010030090270812563,,,,,,,,,,,,,,-0.0020080321285140816,-0.015687751004016034,-0.017821285140562245,-0.024849397590361418,-0.04003514056224893,,,,0.0037650602409639027,0.006024096385542131,,,,,,,43958267.13008937,,,,,,,,,,,,,,,
4,,2019-10-09,EB2005,8039.271971201589,8020.109235352532,8086.674528301886,8008.006454816286,0,12898,8036.246276067527,8042.29766633565,8030.194885799404,15982,8350.91857000993,7709.471201588878,7983,5,-0.0020080321285140816,0.010903692415285696,,,,,,,,,,,,,-0.013707243460764533,-0.015845070422535183,-0.02288732394366192,-0.0381036217303822,-0.05357142857142857,,,,0.008299798792756531,0.00150905432595564,,,,,,,103443368.91757695,,,,1.4456830296460939,,,,,,1.7219264094162188,,,,,
5,,2019-10-10,EB2005,8018.092105263157,7910.175645481629,8036.246276067527,7902.107125124131,0,44770,8020.109235352532,7939.424031777557,8042.29766633565,21110,8363.021350546176,7721.573982125124,7888,5,-0.013707243460764533,0.008358898394359446,,,,,,,,,,,,,-0.002167537931913836,-0.009307662884100473,-0.02473543287007519,-0.04041820731862812,-0.046538314420502366,-2.887269344084354,0.5547490927293205,-0.013329979879275821,0.015937778911130913,0.0010200178503123932,,,,,,,354138563.6482125,,,,0.49484453607076173,,,,,,-1.871636656934801,,,,,
6,,2019-10-11,EB2005,7899.081429990069,7893.030039721946,7947.492552135054,7860.755958291957,0,29642,7910.175645481629,7901.098560079444,7939.424031777557,22516,8256.113455809334,7622.73460774578,7858,5,-0.002167537931913836,0.006651827429892283,,,,,,,,,,,,,-0.007155635062611782,-0.022616917965755115,-0.038333759263991844,-0.04446716074623049,-0.035778175313059025,-0.22943935671208399,0.3525343439128375,-0.013770240979217195,0.0069000766675184995,0.004088934321492397,,,,,,,233965196.43743792,,,,0.8981889382018445,,,,,,-0.5765480700668203,,,,,
7,,2019-10-14,EB2005,7895.047169811321,7836.550397219464,7917.235600794439,7822.430486593843,0,29722,7893.030039721946,7862.773088381331,7901.098560079444,29566,8216.779419066534,7585.417701092353,7831,5,-0.007155635062611782,0.005319693937762741,,,,,,,,,,,,,-0.015572715572715536,-0.03140283140283145,-0.03758043758043759,-0.028828828828828843,-0.035521235521235504,0.5392348694420079,0.7151359033576123,-0.018911321236902638,0.01029601029601031,0.0018018018018018244,,,,,,,232917950.9061569,,,,0.0170378557238522,,,,,,0.15623218341376194,,,,,
8,,2019-10-15,EB2005,7826.464746772592,7714.514026812314,7826.464746772592,7657.025819265144,0,63492,7836.550397219464,7732.668197616683,7862.773088381331,41682,8176.436817279046,7549.109359483615,7721,5,-0.015572715572715536,0.006333999321844751,,,,,,,,,,,,,-0.016080533403059306,-0.022355863511570182,-0.013465812524513059,-0.020264086808733185,-0.023532487906915877,1.952156651638517,0.9292430494486911,-0.026769626769626756,0.01451170087593144,0.007451954503856806,,,,,,,489809924.59036744,,,,0.4948380911543099,,,,,,-0.31946741243973426,,,,,
9,,2019-10-16,EB2005,7740.73671797418,7590.460526315789,7741.745283018868,7554.152184707051,0,72992,7714.514026812314,7643.914473684211,7732.668197616683,49354,8041.289101290963,7424.047293942403,7654,5,-0.016080533403059306,0.0060585111407116575,,,,,,,,,,,,,-0.006377889981397781,0.002657454158915792,-0.004251926654265148,-0.007573744352909768,-0.010496943927717259,0.9464814464814465,0.8006333669209731,-0.03621388416786518,0.0199309061918682,0.004783417486048306,,,,,,,554042894.736842,,,,0.35245197871113987,,,,,,-0.8861896926480488,,,,,
