date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma20,sigma40,sigma252,sigma126,sigma63,sigma5
2010-01-04,P1009,6650.113144987725,6651.935093794571,6712.059404420487,6599.098578396038,0,641592,6628.249759305573,6659.222889021954,6546.262062997505,302644,6872.39089942293,6220.13322657208,7300,10,0.003573391973611938,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,P1009,6668.332633056184,6690.196018738336,6730.278892488946,6639.181452146649,0,726722,6651.935093794571,6693.839916352027,6659.222889021954,329262,6990.817571867918,6327.628206175991,7320,10,0.005751848808545548,,,,,,
2010-01-06,P1009,6662.866786635646,6719.347199647871,6801.334895955939,6653.757042601416,0,758566,6690.196018738336,6741.210585330022,6693.839916352027,345622,7027.256548004837,6360.423284699218,7314,10,0.004357298474945569,0.001540401600503739,0.001540401600503739,0.001540401600503739,0.001540401600503739,0.001540401600503739,0.001540401600503739
2010-01-07,P1009,6759.430073398482,6498.891394019511,6799.512947149093,6404.150056063521,0,971910,6719.347199647871,6579.057141520732,6741.210585330022,284252,7078.271114596523,6404.150056063521,7420,10,-0.03280911062906727,0.001103400366854351,0.001103400366854351,0.001103400366854351,0.001103400366854351,0.001103400366854351,0.001103400366854351
2010-01-08,P1009,6495.247496405818,6409.615902484059,6513.466984474278,6298.477025266456,0,857686,6498.891394019511,6418.725646518289,6579.057141520732,264762,6907.007926753004,6251.106356288461,7130,10,-0.01373703392206337,0.01870668554351508,0.01870668554351508,0.01870668554351508,0.01870668554351508,0.01870668554351508,0.01870668554351508
2010-01-11,P1009,6489.781649985281,6489.781649985281,6562.659602259119,6486.137752371589,0,697064,6409.615902484059,6518.932830894816,6418.725646518289,279150,6739.388636523177,6098.062656513402,7124,10,0.0125071063104036,0.01668816553410808,0.01668816553410808,0.01668816553410808,0.01668816553410808,0.01668816553410808,0.01668816553410808
2010-01-12,P1009,6396.862260836137,6407.793953677213,6467.918264303129,6384.108619188216,0,495840,6489.781649985281,6418.725646518289,6518.932830894816,286586,6843.239718513396,6194.625943276236,7022,10,-0.01263335204941044,0.0168365435047747,0.0168365435047747,0.0168365435047747,0.0168365435047747,0.0168365435047747,0.01843307779493919
2010-01-13,P1009,6194.625943276236,6189.160096855699,6267.503895550075,6136.323581457166,0,544822,6407.793953677213,6212.845431344696,6418.725646518289,263236,6739.388636523177,6098.062656513402,6800,10,-0.03411998862667046,0.01576143143561527,0.01576143143561527,0.01576143143561527,0.01576143143561527,0.01576143143561527,0.01762133496960796
2010-01-14,P1009,6267.503895550075,6274.791690777459,6302.120922880148,6234.708817026848,0,472570,6189.160096855699,6269.32584435692,6212.845431344696,248218,6522.576728508508,5903.114134180884,6880,10,0.01383573741536658,0.01791734745959022,0.01791734745959022,0.01791734745959022,0.01791734745959022,0.01791734745959022,0.0189727769395197
2010-01-15,P1009,6249.284407481615,6232.886868220002,6325.806257369145,6181.872301628315,0,586250,6274.791690777459,6256.572202708999,6269.32584435692,255726,6582.701039134425,5955.950649579417,6860,10,-0.006678281068524989,0.01832438797646757,0.01832438797646757,0.01832438797646757,0.01832438797646757,0.01832438797646757,0.02016882417256363
2010-01-18,P1009,6185.516199242007,6212.845431344696,6251.106356288461,6149.077223105088,0,581646,6232.886868220002,6201.91373850362,6256.572202708999,308022,6568.125448679657,5945.018956738341,6790,10,-0.003215434083601276,0.01727806555425965,0.01727806555425965,0.01727806555425965,0.01727806555425965,0.01727806555425965,0.01980826598351459
2010-01-19,P1009,6240.174663447386,6236.530765833693,6278.43558839115,6203.735687310466,0,434246,6212.845431344696,6238.352714640539,6201.91373850362,297188,6511.645035667432,5892.182441339809,6850,10,0.003812316715542443,0.016412826607423,0.016412826607423,0.016412826607423,0.016412826607423,0.016412826607423,0.01734632162190675
2010-01-20,P1009,6274.791690777459,6105.350451740785,6280.257537197996,6101.706554127093,0,622982,6236.530765833693,6178.228404014623,6238.352714640539,292092,6549.905960611197,5926.799468669882,6888,10,-0.02103418054338303,0.01589023692109423,0.01589023692109423,0.01589023692109423,0.01589023692109423,0.01589023692109423,0.01793072761041693
2010-01-21,P1009,6092.596810092863,6211.02348253785,6221.955175378926,6068.911475603866,0,694602,6105.350451740785,6132.679683843474,6178.228404014623,280430,6486.137752371589,5870.319055657657,6688,10,0.01730826618919732,0.01585456518531891,0.01585456518531891,0.01585456518531891,0.01585456518531891,0.01585456518531891,0.01292348400856208
2010-01-22,P1009,6150.899171911934,6201.91373850362,6218.311277765234,6065.267577990174,0,786590,6211.02348253785,6150.899171911934,6132.679683843474,278932,6438.767083393594,5826.592284293354,6752,10,-0.001466705778820817,0.01647577514479632,0.01647577514479632,0.01647577514479632,0.01647577514479632,0.01647577514479632,0.01407345343091342
2010-01-25,P1009,6185.516199242007,6211.02348253785,6256.572202708999,6170.940608787239,0,800640,6201.91373850362,6221.955175378926,6150.899171911934,313968,6456.986571462054,5844.811772361814,6790,10,0.001468860164512387,0.01589583415176506,0.01589583415176506,0.01589583415176506,0.01589583415176506,0.01589583415176506,0.0138276233487467
2010-01-26,P1009,6218.311277765234,6108.994349354477,6236.530765833693,6108.994349354477,0,765770,6211.02348253785,6170.940608787239,6221.955175378926,306826,6531.686472542738,5912.223878215114,6826,10,-0.01642710472279259,0.01542448287761577,0.01542448287761577,0.01542448287761577,0.01542448287761577,0.01542448287761577,0.01379178918697985
2010-01-27,P1009,6149.077223105088,6149.077223105088,6170.940608787239,6094.418758899709,0,665180,6108.994349354477,6139.967479070858,6170.940608787239,289686,6478.849957144205,5863.031260430274,6750,10,0.006561288398449129,0.01523855712361818,0.01523855712361818,0.01523855712361818,0.01523855712361818,0.01523855712361818,0.01528855704149796
2010-01-28,P1009,6087.130963672325,6107.172400547631,6121.747991002399,6028.828601853255,0,631430,6149.077223105088,6088.952912479172,6139.967479070858,276574,6446.054878620978,5833.880079520738,6682,10,-0.006814814814814833,0.01501900206117592,0.01501900206117592,0.01501900206117592,0.01501900206117592,0.01501900206117592,0.0123054937226468
2010-01-29,P1009,6103.528502933939,6054.335885149098,6169.118659980393,6048.870038728561,0,720468,6107.172400547631,6116.282144581861,6088.952912479172,304518,6393.218363222445,5784.687461735897,6700,10,-0.008651551312649124,0.01460959720939437,0.01460959720939437,0.01460959720939437,0.01460959720939437,0.01460959720939437,0.008775198496939677
2010-02-01,P1009,6068.911475603866,5972.348188841031,6087.130963672325,5970.526240034184,0,575700,6054.335885149098,6012.431062591641,6116.282144581861,286032,6420.547595325134,5812.016693838586,6662,10,-0.01354198013842913,0.01425476707597836,0.01425476707597836,0.01425476707597836,0.01425476707597836,0.01425476707597836,0.008978547156448358
2010-02-02,P1009,6052.513936342252,5974.170137647877,6052.513936342252,5952.306751965725,0,459570,5972.348188841031,5996.033523330027,6012.431062591641,282612,6313.052615721223,5711.809509462059,6644,10,0.0003050640634533657,0.01426334855199709,0.01403568216773551,0.01403568216773551,0.01403568216773551,0.01403568216773551,0.008878857453918525
2010-02-03,P1009,6090.774861286018,6121.747991002399,6125.391888616091,6045.226141114868,0,470116,5974.170137647877,6079.843168444942,5996.033523330027,285022,6294.833127652764,5697.233919007292,6686,10,0.02470265324794153,0.01409267608935987,0.01374153023149991,0.01374153023149991,0.01374153023149991,0.01374153023149991,0.007901997512535548
2010-02-04,P1009,6068.911475603866,6056.157833955945,6098.062656513402,6019.718857819025,0,447720,6121.747991002399,6056.157833955945,6079.843168444942,289572,6382.28667038137,5777.399666508513,6662,10,-0.0107142857142858,0.01550854594364692,0.01475231666241033,0.01475231666241033,0.01475231666241033,0.01475231666241033,0.01509792537329022
2010-02-05,P1009,5996.033523330027,6088.952912479172,6129.035786229782,5986.923779295798,0,529578,6056.157833955945,6068.911475603866,6056.157833955945,295658,6358.601335892372,5753.714332019516,6582,10,0.005415162454873615,0.01411228576939558,0.01450624402896096,0.01450624402896096,0.01450624402896096,0.01450624402896096,0.01557933174579921
2010-02-08,P1009,6139.967479070858,6180.050352821469,6190.982045662545,6132.679683843474,0,469572,6088.952912479172,6163.652813559856,6068.911475603866,322866,6371.354977540294,5766.467973667438,6740,10,0.01496110113704358,0.01402537116044923,0.01431614656642937,0.01431614656642937,0.01431614656642937,0.01431614656642937,0.01524970364456889
2010-02-09,P1009,6196.447892083082,6172.762557594086,6207.379584924159,6147.255274298242,0,351342,6180.050352821469,6167.296711173547,6163.652813559856,310254,6471.562161916821,5855.74346520289,6802,10,-0.00117924528301873,0.01417323932965578,0.01447637116343866,0.01447637116343866,0.01447637116343866,0.01447637116343866,0.01358189087244222
2010-02-10,P1009,6194.625943276236,6163.652813559856,6218.311277765234,6130.857735036629,0,437428,6172.762557594086,6178.228404014623,6167.296711173547,306356,6475.206059530513,5859.387362816581,6800,10,-0.001475796930342286,0.01396558496590655,0.01419783798858715,0.01419783798858715,0.01419783798858715,0.01419783798858715,0.01377780987888303
2010-02-11,P1009,6194.625943276236,6212.845431344696,6245.640509867923,6194.625943276236,0,233452,6163.652813559856,6223.777124185772,6178.228404014623,296490,6486.137752371589,5870.319055657657,6800,10,0.007981081879988056,0.01171197101467721,0.01393387411953512,0.01393387411953512,0.01393387411953512,0.01393387411953512,0.00950925360569053
2010-02-12,P1009,6212.845431344696,6178.228404014623,6232.886868220002,6149.077223105088,0,165296,6212.845431344696,6194.625943276236,6223.777124185772,291972,6659.222889021954,5788.33135934959,6820,10,-0.005571847507331387,0.01141359988203867,0.01382046577852101,0.01382046577852101,0.01382046577852101,0.01382046577852101,0.006861179145724303
2010-02-22,P1009,6285.723383618534,6314.87456452807,6351.313540664988,6236.530765833693,0,451592,6178.228404014623,6305.76482049384,6194.625943276236,319766,6628.249759305573,5761.0021272469,6900,10,0.0221173695075199,0.01138438589297987,0.01359456799820925,0.01359456799820925,0.01359456799820925,0.01359456799820925,0.00834922637899087
2010-02-23,P1009,6320.340410948607,6391.3964144156,6393.218363222445,6303.942871686993,0,405170,6314.87456452807,6351.313540664988,6305.76482049384,343624,6620.961964078189,5990.56767690949,6938,10,0.01211771494518179,0.01241481950511523,0.01406439641368547,0.01406439641368547,0.01406439641368547,0.01406439641368547,0.01108847082131105
2010-02-24,P1009,6342.203796630759,6336.737950210221,6365.889131119756,6320.340410948607,0,309294,6391.3964144156,6342.203796630759,6351.313540664988,333394,6668.332633056184,6034.294448273793,6962,10,-0.008551881413911059,0.01265438684713927,0.01404249290566613,0.01404249290566613,0.01404249290566613,0.01404249290566613,0.01101786268030743
2010-02-25,P1009,6376.820823960832,6285.723383618534,6382.28667038137,6247.46245867477,0,391872,6336.737950210221,6307.586769300686,6342.203796630759,311078,6659.222889021954,6025.184704239563,7000,10,-0.008050603795284711,0.01177176366709549,0.01388305132406683,0.01388305132406683,0.01388305132406683,0.01388305132406683,0.01270883422878809
2010-02-26,P1009,6285.723383618534,6252.928305095307,6307.586769300686,6234.708817026848,0,301028,6285.723383618534,6276.613639584304,6307.586769300686,321734,6622.783912885036,5992.389625716336,6900,10,-0.005217391304347796,0.01138729227439103,0.01372047947656911,0.01372047947656911,0.01372047947656911,0.01372047947656911,0.0139276441364623
2010-03-01,P1009,6376.820823960832,6305.76482049384,6378.642772767677,6289.367281232227,0,344422,6252.928305095307,6320.340410948607,6276.613639584304,330956,6589.988834361809,5963.238444806801,7000,10,0.00844988344988341,0.01145483058023551,0.0135320544183936,0.0135320544183936,0.0135320544183936,0.0135320544183936,0.01387765867319917
2010-03-02,P1009,6302.120922880148,6274.791690777459,6354.95743827868,6274.791690777459,0,429384,6305.76482049384,6313.052615721223,6320.340410948607,296070,6635.537554532957,6005.143267364258,6918,10,-0.004911875180583578,0.01159235279211557,0.01344157900597961,0.01344157900597961,0.01344157900597961,0.01344157900597961,0.009786393295298148
2010-03-03,P1009,6296.65507645961,6347.669643051297,6364.067182312911,6296.65507645961,0,377554,6274.791690777459,6338.559899017067,6313.052615721223,305024,6628.249759305573,5997.855472136874,6912,10,0.01161440185830425,0.01095929047584103,0.01326689818962336,0.01326689818962336,0.01326689818962336,0.01326689818962336,0.006961497253019704
2010-03-04,P1009,6340.381847823913,6271.147793163766,6349.491591858143,6267.503895550075,0,332544,6347.669643051297,6305.76482049384,6338.559899017067,285390,6653.757042601416,6023.362755432717,6960,10,-0.01205510907003447,0.01114136121622884,0.01325543784611776,0.01325543784611776,0.01325543784611776,0.01325543784611776,0.008968619850961401
2010-03-05,P1009,6285.723383618534,6393.218363222445,6411.437851290905,6249.284407481615,0,621786,6271.147793163766,6345.84769424445,6305.76482049384,339764,6620.961964078189,5990.56767690949,6900,10,0.01946542707728063,0.01140928460955852,0.0131980036762018,0.0131980036762018,0.0131980036762018,0.0131980036762018,0.0100258322449391
2010-03-08,P1009,6384.108619188216,6404.150056063521,6420.547595325134,6351.313540664988,0,505750,6393.218363222445,6389.574465608754,6345.84769424445,332682,6662.866786635646,6028.828601853255,7008,10,0.001709888857224366,0.01183168018713665,0.01343637320404901,0.01343637320404901,0.01343637320404901,0.01343637320404901,0.0127753135425941
