,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close
0,CU,2010-01-04,CU1004,107296.3269545348,107082.2694444011,108295.2620018256,106707.6688016671,0,285600,107064.4313185566,107688.7657231134,106475.7731656888,161040,109668.7976918504,103264.9105136828,60150.0,5,0.00016661112962367057,,,,,,,,,,,,,,0.009328668998834218,0.02665333999666863,0.018990504747626265,0.010994502748626204,0.03564884224554407,,,,0.01132766949858403,0.0034982508745624074
1,,2010-01-05,CU1004,107831.4707298692,108081.2044916919,108223.9094984477,106850.3738084229,0,270286,107082.2694444011,107670.9275972689,107688.7657231134,160152,110917.4665009639,104442.2268194184,60450.0,5,0.009328668998834218,,,,,,,,,,,,,,0.017164548605380418,0.009572536722231165,0.0016504373659021756,0.0260769103812509,0.018319854761511375,,,,0.0013203498927213636,0.011388017824723746
2,,2010-01-06,CU1004,108206.0713726032,109936.3695795176,110489.3514806964,107938.4994849361,0,317130,108081.2044916919,109526.0926850946,107670.9275972689,172100,110899.6283751194,104424.3886935739,60660.0,5,0.017164548605380418,,,,,,,,,,,,,,-0.007463897452539564,-0.01525231218562367,0.008761966574719983,0.0011358104819077512,-0.030180107090702665,,,,0.005030017848450201,0.018172967710530376
3,,2010-01-07,CU1004,110721.2471166746,109115.8157906716,113182.9084832126,107938.4994849361,0,585286,109936.3695795176,110346.6464739406,109526.0926850946,159808,113182.9084832126,107938.4994849361,62070.0,5,-0.007463897452539564,,,,,,,,,,,,,,-0.007846983815595447,0.016347882949158184,0.008664377963053591,-0.02288703612882119,-0.0068661108386465835,,,,0.03727317312408071,0.010789602746443907
4,,2010-01-08,CU1004,109169.330168205,108259.5857501367,109633.1214401615,106457.9350398444,0,533576,109115.8157906716,107920.6613590916,110346.6464739406,155876,113646.699755169,106457.9350398444,61200.0,5,-0.007846983815595447,0.010876566000502833,,,,,,,,,,,,,0.024386225078266256,0.016641950898005624,-0.015159004778382243,0.0009886307464155874,-0.002965892239248644,,,,0.012687427912341391,0.016641950898006564
5,,2010-01-11,CU1004,109793.6645727618,110899.6283751194,111523.9627796761,109757.9883210728,0,313530,108259.5857501367,110578.5421099188,107920.6613590916,156532,111523.9627796761,109757.9883210728,61550.0,5,0.024386225078266256,0.014496501092083945,,,,,,,,,,,,,-0.007559916358372493,-0.038603828212964424,-0.02284059835933758,-0.02670098118063342,-0.020749557664468773,0.052344933055459765,-0.028920423926710976,0.025045312242544568,0.005629724947723787,0.010294354190123941
6,,2010-01-12,CU1004,109740.1501952283,110061.2364604289,110328.8083480961,108901.7582805379,0,269398,110899.6283751194,109668.7976918504,110578.5421099188,151668,113878.5953911472,107260.6507028459,61520.0,5,-0.007559916358372493,0.015763554935555476,,,,,,,,,,,,,-0.03128038897893,-0.015397082658022688,-0.019286871961101494,-0.013290113452188104,-0.0011345218800644205,-0.0028322648550377955,-0.054199780236628935,0.01495898343252331,0.0024311183144249482,0.010534846029172791
7,,2010-01-13,CU1004,106136.8487746438,106618.4781724447,107884.9851074026,104834.6655879969,0,379902,110061.2364604289,106779.021305045,109668.7976918504,157426,112951.0128472343,104834.6655879969,59500.0,5,-0.03128038897893,0.01981411981913442,,,,,,,,,,,,,0.016396185377279247,0.012380793039986921,0.018571189559979495,0.031119290614020502,0.017936182674465694,0.2330084113467806,-0.09675079779518422,-0.03452188006482979,0.011878868997824664,0.016730801405387283
8,,2010-01-14,CU1004,108830.4057771599,108366.6145052035,109240.6826715829,108099.0426175364,0,180786,106618.4781724447,108598.5101411817,106779.021305045,150502,109972.0458312065,103568.1586530389,61010.0,5,0.016396185377279247,0.022100563200000405,,,,,,,,,,,,,-0.003950617283949997,0.0021399176954731503,0.014485596707819343,0.0015151545424334821,0.0010226061057732852,-1.0647482771872747,-0.0591134882420947,-0.002676928224862369,0.008065843621398953,0.0024691358024685134
9,,2010-01-15,CU1004,108295.2620018256,107938.4994849361,108741.2151479376,107332.0032062238,0,157256,108366.6145052035,108045.5282400029,108598.5101411817,148232,111845.0490448767,105334.1331116423,60710.0,5,-0.003950617283949997,0.021874291366882077,,,,,,,,,,,,,0.006114691786480846,0.018509337299619677,0.005487450643741468,0.004992948618834725,-0.021545326717828304,-2.0815771132720453,-0.050790022723950515,0.00032921810699536314,0.007436787307883003,0.005618905965956436
