,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close
0,AG,2012-05-10,AG1209,6190.0,6140.0,6196.0,6082.0,0,259996,6166.0,6126.0,6166.0,33726,6473.0,5858.0,6190.0,15,-0.0042166720726565035,,,,,,,,,,,,,,-0.02247557003257329,-0.026710097719869708,-0.048534201954397393,-0.08029315960912052,-0.061400651465798047,,,,0.009120521172638436,0.009446254071661237
1,,2012-05-11,AG1209,6110.0,6002.0,6115.0,6000.0,0,206804,6140.0,6056.0,6126.0,55020,6432.0,5819.0,6110.0,15,-0.02247557003257329,,,,,,,,,,,,,,-0.00433188937020993,-0.026657780739753417,-0.059146951016327894,-0.039820059980006664,-0.023158947017660778,,,,0.01882705764745085,0.0003332222592469177
2,,2012-05-14,AG1209,6040.0,5976.0,6045.0,5960.0,0,207668,6002.0,5999.0,6056.0,57028,6358.0,5753.0,6040.0,15,-0.00433188937020993,,,,,,,,,,,,,,-0.02242302543507363,-0.05505354752342704,-0.0356425702811245,-0.01890896921017403,-0.006024096385542169,,,,0.011546184738955823,0.002677376171352075
3,,2012-05-15,AG1209,5895.0,5842.0,5910.0,5711.0,0,445150,5976.0,5813.0,5999.0,82238,6298.0,5699.0,5895.0,15,-0.02242302543507363,,,,,,,,,,,,,,-0.033378979801437864,-0.013522766175967135,0.00359465936323177,0.016775077028414926,0.008216364258815475,,,,0.011639849366655255,0.022423827456350565
4,,2012-05-16,AG1209,5750.0,5647.0,5786.0,5643.0,0,599202,5842.0,5704.0,5813.0,108376,6103.0,5522.0,5750.0,15,-0.033378979801437864,0.012756269009348235,,,,,,,,,,,,,0.020541880644590046,0.038250398441650436,0.05188595714538693,0.04303169824685674,0.025500265627766958,,,,0.024614839737913938,0.0007083407118824154
5,,2012-05-17,AG1209,5705.0,5763.0,5787.0,5691.0,0,558288,5647.0,5748.0,5704.0,89738,5989.0,5418.0,5705.0,15,0.020541880644590046,0.021168117180563318,,,,,,,,,,,,,0.01735207357279195,0.03071317022384175,0.022037133437445774,0.0048585806003817456,0.011972930765226444,0.497815427852377,0.5168302945301543,-0.07703205241721268,0.004164497657470068,0.012493492972410203
6,,2012-05-18,AG1209,5808.0,5863.0,5881.0,5768.0,0,695576,5763.0,5827.0,5748.0,92162,6035.0,5460.0,5808.0,15,0.01735207357279195,0.02376896061963158,,,,,,,,,,,,,0.013133208255159476,0.004605150946614361,-0.012280402524304963,-0.00528739553129797,0.006993006993006993,0.8754836213567191,0.41389377966970514,-0.03366302273121638,0.003070100631076241,0.016203308886235716
7,,2012-05-21,AG1209,5957.0,5940.0,5964.0,5903.0,0,405766,5863.0,5932.0,5827.0,97686,6118.0,5535.0,5957.0,15,0.013133208255159476,0.025039633655108584,,,,,,,,,,,,,-0.008417508417508417,-0.025084175084175084,-0.01818181818181818,-0.006060606060606061,0.007744107744107744,0.2847970602781005,0.44115796098174953,-0.003240661777247143,0.00404040404040404,0.006228956228956229
8,,2012-05-22,AG1209,5920.0,5890.0,5930.0,5882.0,0,371088,5940.0,5903.0,5932.0,90716,6228.0,5635.0,5920.0,15,-0.008417508417508417,0.02271295966994384,,,,,,,,,,,,,-0.016808149405772497,-0.009847198641765705,0.0023769100169779285,0.01629881154499151,0.012224108658743633,-0.18252391772598,0.08678828081813156,0.013131313131313131,0.006791171477079796,0.0013582342954159593
9,,2012-05-23,AG1209,5800.0,5791.0,5818.0,5759.0,0,300170,5890.0,5791.0,5903.0,90202,6198.0,5607.0,5800.0,15,-0.016808149405772497,0.016701566414097136,,,,,,,,,,,,,0.007079951649110689,0.019513037471939217,0.03367294077016059,0.029528578829217753,0.001726817475392851,-0.8058250334152546,-0.20033952114290754,0.02597623089983022,0.004662407183560697,0.005525815921257123
10,,2012-05-24,AG1209,5785.0,5832.0,5838.0,5766.0,0,301270,5791.0,5804.0,5791.0,85938,6080.0,5501.0,5785.0,15,0.007079951649110689,0.014548338742320688,,,,,,,,,,,,,0.012345679012345678,0.026406035665294925,0.022290809327846366,-0.005315500685871056,0.0032578875171467765,-0.8562414631708698,-0.04212766900955633,0.003798998445864272,0.00102880658436214,0.01131687242798354
11,,2012-05-25,AG1209,5858.0,5904.0,5912.0,5804.0,0,420278,5832.0,5849.0,5804.0,92544,6094.0,5513.0,5858.0,15,0.012345679012345678,0.013394363461164115,,,,,,,,,,,,,0.013888888888888888,0.009823848238482384,-0.01744579945799458,-0.008976964769647697,-0.012195121951219513,-0.913791615494407,0.004445065046894273,-0.0008573388203017832,0.0013550135501355014,0.016937669376693765
12,,2012-05-28,AG1209,5940.0,5986.0,5992.0,5916.0,0,381418,5904.0,5955.0,5849.0,94920,6141.0,5556.0,5940.0,15,0.013888888888888888,0.013562126840905166,,,,,,,,,,,,,-0.004009355162044771,-0.03090544604076178,-0.022552622786501837,-0.025726695623120615,-0.0061810892081523554,-0.05793308238832392,-0.029888485477178425,0.0,0.0010023387905111927,0.011693952555963916
